Gene	
5133  	PDCD1; programmed cell death 1 [KO:K06744]
5777  	PTPN6; protein tyrosine phosphatase non-receptor type 6 [KO:K05697] [EC:3.1.3.48]
5781  	PTPN11; protein tyrosine phosphatase non-receptor type 11 [KO:K07293] [EC:3.1.3.48]
55509  	BATF3; basic leucine zipper ATF-like transcription factor 3 [KO:K09034]
10538  	BATF; basic leucine zipper ATF-like transcription factor [KO:K09034]
116071  	BATF2; basic leucine zipper ATF-like transcription factor 2 [KO:K09034]
1457  	CSNK2A1; casein kinase 2 alpha 1 [KO:K03097] [EC:2.7.11.1]
1459  	CSNK2A2; casein kinase 2 alpha 2 [KO:K03097] [EC:2.7.11.1]
283106  	CSNK2A3; casein kinase 2 alpha 3 [KO:K03097] [EC:2.7.11.1]
1460  	CSNK2B; casein kinase 2 beta [KO:K03115]
920  	CD4; CD4 molecule [KO:K06454]
3932  	LCK; LCK proto-oncogene, Src family tyrosine kinase [KO:K05856] [EC:2.7.10.2]
916  	CD3E; CD3 epsilon subunit of T-cell receptor complex [KO:K06451]
917  	CD3G; CD3 gamma subunit of T-cell receptor complex [KO:K06452]
919  	CD247; CD247 molecule [KO:K06453]
915  	CD3D; CD3 delta subunit of T-cell receptor complex [KO:K06450]
7535  	ZAP70; zeta chain of T cell receptor associated protein kinase 70 [KO:K07360] [EC:2.7.10.2]
4215  	MAP3K3; mitogen-activated protein kinase kinase kinase 3 [KO:K04421] [EC:2.7.11.25]
5606  	MAP2K3; mitogen-activated protein kinase kinase 3 [KO:K04432] [EC:2.7.12.2]
5608  	MAP2K6; mitogen-activated protein kinase kinase 6 [KO:K04433] [EC:2.7.12.2]
5600  	MAPK11; mitogen-activated protein kinase 11 [KO:K04441] [EC:2.7.11.24]
6300  	MAPK12; mitogen-activated protein kinase 12 [KO:K04441] [EC:2.7.11.24]
5603  	MAPK13; mitogen-activated protein kinase 13 [KO:K04441] [EC:2.7.11.24]
1432  	MAPK14; mitogen-activated protein kinase 14 [KO:K04441] [EC:2.7.11.24]
27040  	LAT; linker for activation of T cells [KO:K07362]
5335  	PLCG1; phospholipase C gamma 1 [KO:K01116] [EC:3.1.4.11]
5530  	PPP3CA; protein phosphatase 3 catalytic subunit alpha [KO:K04348] [EC:3.1.3.16]
5532  	PPP3CB; protein phosphatase 3 catalytic subunit beta [KO:K04348] [EC:3.1.3.16]
5533  	PPP3CC; protein phosphatase 3 catalytic subunit gamma [KO:K04348] [EC:3.1.3.16]
5534  	PPP3R1; protein phosphatase 3 regulatory subunit B, alpha [KO:K06268]
5535  	PPP3R2; protein phosphatase 3 regulatory subunit B, beta [KO:K06268]
10125  	RASGRP1; RAS guanyl releasing protein 1 [KO:K04350]
940  	CD28; CD28 molecule [KO:K06470]
5588  	PRKCQ; protein kinase C theta [KO:K18052] [EC:2.7.11.13]
