Gene	
1856  	DVL2; dishevelled segment polarity protein 2 [KO:K02353]
1855  	DVL1; dishevelled segment polarity protein 1 [KO:K02353]
10023  	FRAT1; FRAT regulator of WNT signaling pathway 1 [KO:K03069]
23401  	FRAT2; FRAT regulator of WNT signaling pathway 2 [KO:K03096]
1457  	CSNK2A1; casein kinase 2 alpha 1 [KO:K03097] [EC:2.7.11.1]
1459  	CSNK2A2; casein kinase 2 alpha 2 [KO:K03097] [EC:2.7.11.1]
283106  	CSNK2A3; casein kinase 2 alpha 3 [KO:K03097] [EC:2.7.11.1]
1460  	CSNK2B; casein kinase 2 beta [KO:K03115]
85407  	NKD1; NKD inhibitor of WNT signaling pathway 1 [KO:K03213]
85409  	NKD2; NKD inhibitor of WNT signaling pathway 2 [KO:K03213]
80319  	CXXC4; CXXC finger protein 4 [KO:K03344]
59343  	SENP2; SUMO specific peptidase 2 [KO:K03345] [EC:3.4.22.68]
2932  	GSK3B; glycogen synthase kinase 3 beta [KO:K03083] [EC:2.7.11.26]
1499  	CTNNB1; catenin beta 1 [KO:K02105]
8312  	AXIN1; axin 1 [KO:K02157]
8313  	AXIN2; axin 2 [KO:K04385]
324  	APC; APC regulator of WNT signaling pathway [KO:K02085]
10297  	APC2; APC regulator of WNT signaling pathway 2 [KO:K02085]
122011  	CSNK1A1L; casein kinase 1 alpha 1 like [KO:K08957] [EC:2.7.11.1]
1452  	CSNK1A1; casein kinase 1 alpha 1 [KO:K08957] [EC:2.7.11.1]
6932  	TCF7; transcription factor 7 [KO:K02620]
83439  	TCF7L1; transcription factor 7 like 1 [KO:K04490]
6934  	TCF7L2; transcription factor 7 like 2 [KO:K04491]
51176  	LEF1; lymphoid enhancer binding factor 1 [KO:K04492]
84445  	LZTS2; leucine zipper tumor suppressor 2 [KO:K26471]
56998  	CTNNBIP1; catenin beta interacting protein 1 [KO:K04493]
25776  	CBY1; chibby 1, beta catenin antagonist [KO:K23402]
57680  	CHD8; chromodomain helicase DNA binding protein 8 [KO:K04494] [EC:5.6.2.-]
4163  	MCC; MCC regulator of WNT signaling pathway [KO:K26734]
57805  	CCAR2; cell cycle and apoptosis regulator 2 [KO:K25816]
23411  	SIRT1; sirtuin 1 [KO:K11411] [EC:2.3.1.286]
64321  	SOX17; SRY-box transcription factor 17 [KO:K04495]
1487  	CTBP1; C-terminal binding protein 1 [KO:K04496] [EC:1.1.1.428]
1488  	CTBP2; C-terminal binding protein 2 [KO:K04496] [EC:1.1.1.428]
102723796  	TLE7; TLE family member 7 [KO:K04497]
7088  	TLE1; TLE family member 1, transcriptional corepressor [KO:K04497]
7089  	TLE2; TLE family member 2, transcriptional corepressor [KO:K04497]
7090  	TLE3; TLE family member 3, transcriptional corepressor [KO:K04497]
7091  	TLE4; TLE family member 4, transcriptional corepressor [KO:K04497]
79816  	TLE6; TLE family member 6, subcortical maternal complex member [KO:K04497]
1501  	CTNND2; catenin delta 2 [KO:K23491]
1387  	CREBBP; CREB binding protein [KO:K04498] [EC:2.3.1.48]
2033  	EP300; E1A binding protein p300 [KO:K04498] [EC:2.3.1.48]
8607  	RUVBL1; RuvB like AAA ATPase 1 [KO:K04499] [EC:5.6.2.4]
4089  	SMAD4; SMAD family member 4 [KO:K04501]
4088  	SMAD3; SMAD family member 3 [KO:K23605]
6885  	MAP3K7; mitogen-activated protein kinase kinase kinase 7 [KO:K04427] [EC:2.7.11.25]
51701  	NLK; nemo like kinase [KO:K04468] [EC:2.7.11.24]
4609  	MYC; MYC proto-oncogene, bHLH transcription factor [KO:K04377]
3725  	JUN; Jun proto-oncogene, AP-1 transcription factor subunit [KO:K04448]
8061  	FOSL1; FOS like 1, AP-1 transcription factor subunit [KO:K04502]
595  	CCND1; cyclin D1 [KO:K04503]
894  	CCND2; cyclin D2 [KO:K10151]
896  	CCND3; cyclin D3 [KO:K10152]
8840  	CCN4; cellular communication network factor 4 [KO:K22471]
5467  	PPARD; peroxisome proliferator activated receptor delta [KO:K04504]
4316  	MMP7; matrix metallopeptidase 7 [KO:K01397] [EC:3.4.24.23]
5663  	PSEN1; presenilin 1 [KO:K04505] [EC:3.4.23.-]
5566  	PRKACA; protein kinase cAMP-activated catalytic subunit alpha [KO:K04345] [EC:2.7.11.11]
5567  	PRKACB; protein kinase cAMP-activated catalytic subunit beta [KO:K04345] [EC:2.7.11.11]
5568  	PRKACG; protein kinase cAMP-activated catalytic subunit gamma [KO:K04345] [EC:2.7.11.11]
7157  	TP53; tumor protein p53 [KO:K04451]
6477  	SIAH1; siah E3 ubiquitin protein ligase 1 [KO:K04506] [EC:2.3.2.27]
27101  	CACYBP; calcyclin binding protein [KO:K04507]
6500  	SKP1; S-phase kinase associated protein 1 [KO:K03094]
6907  	TBL1X; transducin beta like 1 X-linked [KO:K04508]
90665  	TBL1Y; transducin beta like 1 Y-linked [KO:K04508]
79718  	TBL1XR1; TBL1X/Y related 1 [KO:K04508]
8945  	BTRC; beta-transducin repeat containing E3 ubiquitin protein ligase [KO:K03362]
23291  	FBXW11; F-box and WD repeat domain containing 11 [KO:K03362]
8454  	CUL1; cullin 1 [KO:K03347]
9978  	RBX1; ring-box 1 [KO:K03868] [EC:2.3.2.32]
2239  	GPC4; glypican 4 [KO:K08110]
4919  	ROR1; receptor tyrosine kinase like orphan receptor 1 [KO:K05122] [EC:2.7.10.1]
4920  	ROR2; receptor tyrosine kinase like orphan receptor 2 [KO:K05123] [EC:2.7.10.1]
6259  	RYK; receptor like tyrosine kinase [KO:K05128] [EC:2.7.10.1]
57216  	VANGL2; VANGL planar cell polarity protein 2 [KO:K04510]
81839  	VANGL1; VANGL planar cell polarity protein 1 [KO:K04510]
144165  	PRICKLE1; prickle planar cell polarity protein 1 [KO:K04511]
166336  	PRICKLE2; prickle planar cell polarity protein 2 [KO:K04511]
29964  	PRICKLE4; prickle planar cell polarity protein 4 [KO:K04511]
4007  	PRICKLE3; prickle planar cell polarity protein 3 [KO:K04511]
27130  	INVS; inversin [KO:K19626]
23002  	DAAM1; dishevelled associated activator of morphogenesis 1 [KO:K04512]
23500  	DAAM2; dishevelled associated activator of morphogenesis 2 [KO:K04512]
387  	RHOA; ras homolog family member A [KO:K04513]
9475  	ROCK2; Rho associated coiled-coil containing protein kinase 2 [KO:K17388] [EC:2.7.11.1]
5879  	RAC1; Rac family small GTPase 1 [KO:K04392]
5880  	RAC2; Rac family small GTPase 2 [KO:K07860]
5881  	RAC3; Rac family small GTPase 3 [KO:K07861]
5599  	MAPK8; mitogen-activated protein kinase 8 [KO:K04440] [EC:2.7.11.24]
5602  	MAPK10; mitogen-activated protein kinase 10 [KO:K04440] [EC:2.7.11.24]
5601  	MAPK9; mitogen-activated protein kinase 9 [KO:K04440] [EC:2.7.11.24]
23236  	PLCB1; phospholipase C beta 1 [KO:K05858] [EC:3.1.4.11]
5330  	PLCB2; phospholipase C beta 2 [KO:K05858] [EC:3.1.4.11]
5331  	PLCB3; phospholipase C beta 3 [KO:K05858] [EC:3.1.4.11]
5332  	PLCB4; phospholipase C beta 4 [KO:K05858] [EC:3.1.4.11]
815  	CAMK2A; calcium/calmodulin dependent protein kinase II alpha [KO:K04515] [EC:2.7.11.17]
817  	CAMK2D; calcium/calmodulin dependent protein kinase II delta [KO:K04515] [EC:2.7.11.17]
816  	CAMK2B; calcium/calmodulin dependent protein kinase II beta [KO:K04515] [EC:2.7.11.17]
818  	CAMK2G; calcium/calmodulin dependent protein kinase II gamma [KO:K04515] [EC:2.7.11.17]
5530  	PPP3CA; protein phosphatase 3 catalytic subunit alpha [KO:K04348] [EC:3.1.3.16]
5532  	PPP3CB; protein phosphatase 3 catalytic subunit beta [KO:K04348] [EC:3.1.3.16]
5533  	PPP3CC; protein phosphatase 3 catalytic subunit gamma [KO:K04348] [EC:3.1.3.16]
5534  	PPP3R1; protein phosphatase 3 regulatory subunit B, alpha [KO:K06268]
5535  	PPP3R2; protein phosphatase 3 regulatory subunit B, beta [KO:K06268]
5578  	PRKCA; protein kinase C alpha [KO:K02677] [EC:2.7.11.13]
5579  	PRKCB; protein kinase C beta [KO:K19662] [EC:2.7.11.13]
5582  	PRKCG; protein kinase C gamma [KO:K19663] [EC:2.7.11.13]
4772  	NFATC1; nuclear factor of activated T cells 1 [KO:K04446]
4773  	NFATC2; nuclear factor of activated T cells 2 [KO:K17332]
4775  	NFATC3; nuclear factor of activated T cells 3 [KO:K17333]
4776  	NFATC4; nuclear factor of activated T cells 4 [KO:K17334]
